TrialID,Condition,Series,DisparityArcmin,IsTestSecond,IsCorrect,QuestTrial
1,Center,Uncross,-0.9884959,True,False,1
2,Center,Uncross,-3.827495,True,True,2
3,Center,Uncross,-2.523539,True,True,3
4,Center,Uncross,-1.911644,True,True,4
5,Center,Cross,0.9884959,True,True,1
6,Center,Uncross,-1.607053,True,True,5
7,Center,Uncross,-1.398713,True,True,6
8,Center,Uncross,-1.304902,True,True,7
9,Center,Uncross,-1.217383,True,True,8
10,Center,Uncross,-1.135733,True,True,9
11,Center,Uncross,-1.096986,True,True,10
12,Center,Uncross,-1.023411,True,True,11
13,Center,Uncross,-0.9884959,True,True,12
14,Center,Cross,0.5672426,True,True,2
15,Center,Uncross,-0.9547716,True,True,13
16,Center,Uncross,-0.9221979,True,True,14
17,Center,Cross,0.3370064,True,True,3
18,Center,Uncross,-0.9221979,True,True,15
19,Center,Uncross,-0.8907354,True,True,16
20,Center,Uncross,-0.8603464,True,True,17
21,Center,Uncross,-0.8309942,True,True,18
22,Center,Cross,0.2072922,True,True,4
23,Center,Cross,0.1275051,True,True,5
24,Center,Cross,0.1,True,True,6
25,Center,Uncross,-0.8309942,True,True,19
26,Center,Uncross,-0.8026434,True,True,20
27,Center,Cross,0.1,True,False,7
28,Center,Cross,0.1275051,True,True,8
29,Center,Uncross,-0.7752597,True,True,21
30,Center,Cross,0.1148951,True,True,9
31,Center,Uncross,-0.7752597,True,True,22
32,Center,Uncross,-0.7488104,True,True,23
33,Center,Cross,0.1071891,True,True,10
34,Center,Cross,0.1035322,True,False,11
35,Center,Cross,0.1189534,True,True,12
36,Center,Uncross,-0.7232634,True,True,24
37,Center,Uncross,-0.4150405,True,True,25
38,Center,Cross,0.1148951,True,True,13
39,Center,Cross,0.1109753,True,False,14
40,Center,Cross,0.1275051,True,True,15
41,Center,Cross,0.1231551,True,True,16
42,Center,Cross,0.1189534,True,False,17
43,Center,Cross,0.1320088,True,False,18
44,Center,Cross,0.1516717,True,True,19
45,Center,Cross,0.1464971,True,False,20
46,Center,Cross,0.168318,True,False,21
47,Center,Cross,0.2072922,True,True,22
48,Center,Cross,0.1933892,True,False,23
49,Center,Cross,0.2381685,True,False,24
50,Center,Cross,0.3255089,True,True,25
51,Peripheral,Uncross,-0.9884959,True,True,1
52,Peripheral,Uncross,-0.5672426,True,True,2
53,Peripheral,Cross,0.9884959,True,True,1
54,Peripheral,Cross,0.5672426,True,True,2
55,Peripheral,Cross,0.3370064,True,True,3
56,Peripheral,Uncross,-0.3370064,True,True,3
57,Peripheral,Cross,0.2072922,True,True,4
58,Peripheral,Uncross,-0.2072922,True,True,4
59,Peripheral,Uncross,-0.1275051,True,True,5
60,Peripheral,Cross,0.1275051,True,True,5
61,Peripheral,Uncross,-0.1,True,True,6
62,Peripheral,Cross,0.1,True,True,6
63,Peripheral,Cross,0.1,True,False,7
64,Peripheral,Uncross,-0.1,True,False,7
65,Peripheral,Uncross,-0.1275051,True,True,8
66,Peripheral,Cross,0.1275051,True,True,8
67,Peripheral,Uncross,-0.1148951,True,True,9
68,Peripheral,Cross,0.1148951,True,True,9
69,Peripheral,Uncross,-0.1071891,True,True,10
70,Peripheral,Uncross,-0.1035322,True,False,11
71,Peripheral,Cross,0.1071891,True,False,10
72,Peripheral,Cross,0.1320088,True,False,11
