TrialID,Condition,Series,DisparityArcmin,IsTestSecond,IsCorrect,QuestTrial
1,Peripheral,Cross,0.9884959,True,True,1
2,Peripheral,Cross,0.5672426,True,True,2
3,Peripheral,Uncross,-0.9884959,True,False,1
4,Peripheral,Uncross,-3.827495,True,False,2
5,Peripheral,Cross,0.3370064,True,True,3
6,Peripheral,Cross,0.2072922,True,True,4
7,Peripheral,Uncross,-12.45883,True,False,3
8,Peripheral,Uncross,-37.83463,True,False,4
9,Peripheral,Cross,0.1275051,True,True,5
10,Peripheral,Uncross,-100,True,False,5
11,Peripheral,Cross,0.1,True,True,6
12,Peripheral,Cross,0.1,True,True,7
13,Peripheral,Cross,0.1,True,True,8
14,Peripheral,Uncross,-100,True,False,6
15,Peripheral,Cross,0.1,True,True,9
16,Peripheral,Uncross,-100,True,False,7
17,Peripheral,Uncross,-100,True,False,8
18,Peripheral,Uncross,-100,True,False,9
19,Peripheral,Uncross,-100,True,False,10
20,Peripheral,Uncross,-100,True,False,11
21,Peripheral,Uncross,-100,True,False,12
22,Peripheral,Cross,0.1,True,True,10
23,Peripheral,Cross,0.1,True,True,11
24,Peripheral,Uncross,-100,True,False,13
25,Peripheral,Uncross,-100,True,False,14
26,Peripheral,Uncross,-100,True,False,15
27,Peripheral,Uncross,-100,True,False,16
28,Peripheral,Uncross,-100,True,False,17
29,Peripheral,Uncross,-100,True,False,18
30,Peripheral,Cross,0.1,True,True,12
31,Peripheral,Uncross,-100,True,False,19
32,Peripheral,Uncross,-100,True,False,20
33,Peripheral,Cross,0.1,True,True,13
34,Peripheral,Cross,0.1,True,True,14
35,Peripheral,Uncross,-100,True,False,21
36,Peripheral,Uncross,-100,True,False,22
37,Peripheral,Cross,0.1,True,True,15
38,Peripheral,Cross,0.1,True,True,16
39,Peripheral,Cross,0.1,True,True,17
40,Peripheral,Cross,0.1,True,True,18
41,Peripheral,Uncross,-100,True,False,23
42,Peripheral,Uncross,-100,True,False,24
43,Peripheral,Uncross,-100,True,False,25
44,Peripheral,Cross,0.1,True,True,19
45,Peripheral,Cross,0.1,True,True,20
46,Peripheral,Cross,0.1,True,True,21
47,Peripheral,Cross,0.1,True,True,22
48,Peripheral,Cross,0.1,True,True,23
49,Peripheral,Cross,0.1,True,True,24
50,Peripheral,Cross,0.1,True,True,25
